timestamp,temp,hum,pm25,aqi,gas,lat,lng
2026-05-05 13:48:38.684722,34.7,24.4,19.9,67,13,20.922196,77.751256
2026-05-05 13:55:31.790978,33.5,24.6,30.0,88,15,20.922245,77.751267
2026-05-05 13:58:53.503882,33.2,24.8,36.9,104,15,20.922223,77.751318
2026-05-05 13:59:54.939702,33.1,24.8,11.1,46,15,20.922237,77.751304
2026-05-05 14:05:47.324579,33.0,24.6,0.0,0,15,20.922179,77.751289
2026-05-05 14:10:49.111168,32.5,25.9,24.7,77,61,20.92213,77.751228
2026-05-05 14:11:34.445498,32.4,26.2,27.8,84,52,20.922243,77.751281
2026-05-05 15:52:49.789090,31.8,22.8,38.7,108,32,0.0,0.0
2026-05-05 15:57:49.806905,31.7,24.4,21.1,69,16,0.0,0.0
2026-05-05 16:04:32.037671,31.8,21.6,30.9,90,16,0.0,0.0
2026-05-05 16:09:44.346859,32.1,20.3,0.0,0,0,0.0,0.0
2026-05-05 16:13:51.754598,32.2,19.7,36.7,103,16,20.922125,77.751415
2026-05-05 16:15:45.311164,32.2,19.1,23.7,75,16,20.922215,77.751331
2026-05-05 16:20:34.185462,32.5,21.2,23.2,74,15,20.922165,77.751313
2026-05-05 16:27:00.436666,32.7,21.2,34.6,98,15,20.922173,77.751234
2026-05-05 16:45:25.578701,35.0,10.0,0.0,0,0,0.0,0.0
2026-05-05 17:03:16.949456,36.9,10.0,32.7,94,18,20.922329,77.751385
2026-05-05 17:08:18.706291,36.8,10.0,11.3,47,20,20.922234,77.751402
2026-05-05 17:13:18.833312,36.8,10.0,0.0,0,19,20.922282,77.751386
2026-05-05 17:18:19.624559,36.9,10.0,18.5,64,19,20.922279,77.751403
2026-05-05 17:23:21.559011,37.0,10.0,4.6,19,21,20.922277,77.751423
2026-05-05 17:28:22.109766,36.8,10.0,19.1,65,32,20.922259,77.751371
2026-05-06 18:07:41.898289,31.9,39.3,19.6,66,61,0.0,0.0
2026-05-06 18:12:42.317290,32.3,39.2,26.7,81,29,0.0,0.0
2026-05-06 18:17:42.355161,32.3,39.7,18.6,64,28,0.0,0.0
2026-05-06 18:22:43.631922,32.4,40.0,5.2,21,28,18.488784,74.016313
2026-05-06 18:31:57.087385,32.4,40.9,31.7,92,27,18.48877,74.016509
2026-05-06 18:49:27.200704,32.6,41.6,30.2,89,44,18.488753,74.016609
2026-05-06 18:54:27.536016,32.5,41.8,40.0,112,27,18.488727,74.01654
2026-05-06 18:58:28.993034,32.4,42.3,17.7,62,27,18.488664,74.016509
2026-05-06 19:02:45.658177,32.5,42.1,21.3,70,28,18.48879,74.016498
2026-05-06 19:10:41.177312,32.5,41.9,21.7,71,36,18.488776,74.016519
2026-05-06 19:12:29.592515,32.3,42.1,18.2,63,37,18.488635,74.016491
2026-05-06 19:16:19.379901,32.2,41.8,17.7,62,38,18.488701,74.016549
2026-05-06 19:21:57.550437,32.2,41.0,29.6,87,40,18.48872,74.016572
2026-05-06 19:27:54.526623,32.2,41.7,28.0,84,41,18.488694,74.016626
2026-05-06 19:32:54.555999,32.2,42.0,17.2,61,41,18.488706,74.016708
2026-05-06 19:37:54.593689,32.2,42.4,27.0,82,42,18.488701,74.01663
2026-05-06 19:43:54.522052,32.2,42.7,21.7,71,42,18.488654,74.016639
2026-05-06 19:48:54.556551,32.2,43.6,33.8,96,41,18.488706,74.016643
2026-05-06 19:53:54.645476,32.4,44.0,38.9,109,45,18.488683,74.016467
2026-05-06 20:00:54.541025,32.4,47.2,41.3,115,46,18.4887,74.016595
2026-05-06 20:05:54.654110,32.4,48.0,13.7,54,46,18.488644,74.01662
2026-05-06 20:11:54.564778,32.4,49.2,32.0,92,48,18.488705,74.0166
2026-05-07 15:06:39.698642,31.5,45.7,0.0,0,188,0.0,0.0
